verb,query,verb_translation,query_translation,notes
soak,soaking up the sun ,tomar,tomar el sol,
soak,soaking in a bath ,empapar,empapar en la bañera,
soak,soaking up the sunshine ,tomar,tomar los rayos the sol,
soak,soak in the tub ,empapar,empapar en la tina,
soak,soaking the beans ,remojar,remojar las judías,
soak,soaking in rain ,mojar,mojar en la lluvia,
soak,soaking clothes in bucket ,remojar,remojar ropa en el cubo,
soak,soaking feet ,mojar,mojar los pies,
soak,soaking fingers ,mojar,mojar los dedos,
soak,soaking sponge ,empapar,empapar la esponja,
hang,hanging from a tree ,colgar,colgar de un árbol,
hang,hanging from the ceiling ,colgar,colgar del techo,
hang,hanging a painting ,colgar,colgar un cuadro,
hang,hanging in a closet ,colgar,colgar en un armario,
hang,hanging a man ,ahorcar,ahorcar a un hombre,
hang,hanging a woman ,ahorcar,ahorcar a una mujer,
hang,hanging body ,colgar,cuerpo colgante,"Only way to make the sentence sound right was using the verb in ""gerundio"" form"
hang,meat hanging ,colgar,carne colgando,
hang,hanging in the closet ,colgar,colgar en el armario,
hang,hang up the phone ,colgar,colgar el teléfono,
hang,hanging from a hook ,colgar,colgar de un gancho,
hang,hanging out in park ,pasar el rato,pasar el rato en el parque,"There is no direct translation for this, I think"
hang,hanging out at bar ,pasar el rato,pasar el rato en el bar,"There is no direct translation for this, I think"
hang,tongue hanging out ,sacar,sacar la lengua,
hang,hang the wallpaper ,colgar,colgar el papel para empapelar,
hang,hanging clothes ,tender,tender la ropa,
hang,hanging laundry ,tender,tender la colada,
fix,fixing dinner ,hacer ,hacer la cena,
fix,fixing lunch ,hacer ,hacer la comida,
fix,fixing a bulb ,reparar,reparar la bombilla,
fix,fixing light bulb ,reparar,reparar la bombilla,
fix,fixing bicycle ,reparar,reparar la bicicleta,
fix,fixing the road ,reparar,reparar la carretera,
fix,fixing a tent ,reparar,reparar la tienda,
fix,fixing hair ,arreglar,arreglar el pelo,
fix,fixing dress ,reparar,reparar el vestido,
fix,fixing a tire ,reparar ,reparar un neumático,
fix,fixing a ceiling ,reparar,reparar un tejado,
ride,riding a bicycle ,montar,montar una bicicleta,
ride,riding a train ,subir,subir a un tren,
ride,riding the subway ,ir,ir en metro,
ride,rifing on a bull ,montar,montar un toro,
ride,riding a horse ,montar,montar a caballo,
ride,riding a camel ,montar,montar un camello,
ride,riding on a bull ,montar,montar un toro,
ride,riding in a carriage ,ir,ir en carruaje,
ride,riding a wave ,montar,montar la ola,
ride,child riding on shoulders ,subir,subir a los hombros,
